id,code,llsoa,mlsoa,reference_area,owned_hh,male,christian,density,gt_3bedrooms,mainlanguage_english,lone_parent,gt_2people_per_hh,full_time_worker,gte_lvl4_education,verygood_health,good_health,white,uk_citizen,avg_age,avg_hh_income,satisfaction,worthwhile,happy_yesterday
1677,CM12 9SL,6303420,6279720,Brentwood_009A,0.8717339667458432,0.4901149425287356,0.7264367816091954,1.8,0.2826603325415677,0.9840075258701787,0.33064979873490513,0.16270783847980996,0.7009090909090909,0.32580463015245625,0.526896551724138,0.3213793103448276,0.9255172413793104,0.9406896551724138,43.122298850574715,890,7.68,7.89,7.52
1678,CM12 9SN,6303420,6279720,Brentwood_009A,0.8717339667458432,0.4901149425287356,0.7264367816091954,1.8,0.2826603325415677,0.9840075258701787,0.33064979873490513,0.16270783847980996,0.7009090909090909,0.32580463015245625,0.526896551724138,0.3213793103448276,0.9255172413793104,0.9406896551724138,43.122298850574715,890,,7.89,7.52
1679,CM12 0TS,6303227,6279673,Basildon_002D,0.9115755627009646,0.4894162924951892,0.6696600384862091,13.3,0.3745980707395498,0.9840743198407432,0.2859450726978998,0.14469453376205788,0.6940581542351454,0.3134087237479806,0.5445798588838999,0.3463758819756254,0.9281590763309814,0.9480436177036562,40.38229634381013,830,7.66,7.89,7.51
1680,CM4 9NL,6303435,6279713,Brentwood_002D,0.7333333333333333,0.4768375540457072,0.6744904261890056,1.3,0.17185185185185184,0.9783989834815756,0.4064613072877536,0.17925925925925926,0.6834625322997416,0.2336589030803907,0.48548486720197653,0.34403953057442865,0.9153798641136504,0.9413218035824583,42.488573193329216,870,7.54,7.8,7.38
1681,CM13 1SR,6303424,6279714,Brentwood_003B,0.7100313479623824,0.4649122807017544,0.6942355889724311,4.1,0.109717868338558,0.9839640795381654,0.42650602409638555,0.17084639498432602,0.6795865633074936,0.2132295719844358,0.4705513784461153,0.31704260651629074,0.9091478696741855,0.9273182957393483,41.94924812030075,680,7.42,7.69,7.28
1682,CM13 1SN,6303424,6279714,Brentwood_003B,0.7100313479623824,0.4649122807017544,0.6942355889724311,4.1,0.109717868338558,0.9839640795381654,0.42650602409638555,0.17084639498432602,0.6795865633074936,0.2132295719844358,0.4705513784461153,0.31704260651629074,0.9091478696741855,0.9273182957393483,41.94924812030075,680,,7.69,7.28
1683,CM13 1SH,6303424,6279714,Brentwood_003B,0.7100313479623824,0.4649122807017544,0.6942355889724311,4.1,0.109717868338558,0.9839640795381654,0.42650602409638555,0.17084639498432602,0.6795865633074936,0.2132295719844358,0.4705513784461153,0.31704260651629074,0.9091478696741855,0.9273182957393483,41.94924812030075,680,,7.69,7.28
1684,CM13 1SJ,6303424,6279714,Brentwood_003B,0.7100313479623824,0.4649122807017544,0.6942355889724311,4.1,0.109717868338558,0.9839640795381654,0.42650602409638555,0.17084639498432602,0.6795865633074936,0.2132295719844358,0.4705513784461153,0.31704260651629074,0.9091478696741855,0.9273182957393483,41.94924812030075,680,,7.69,7.28
1685,CM13 1SL,6303424,6279714,Brentwood_003B,0.7100313479623824,0.4649122807017544,0.6942355889724311,4.1,0.109717868338558,0.9839640795381654,0.42650602409638555,0.17084639498432602,0.6795865633074936,0.2132295719844358,0.4705513784461153,0.31704260651629074,0.9091478696741855,0.9273182957393483,41.94924812030075,680,,7.69,7.28
1686,CM13 1SG,6303424,6279714,Brentwood_003B,0.7100313479623824,0.4649122807017544,0.6942355889724311,4.1,0.109717868338558,0.9839640795381654,0.42650602409638555,0.17084639498432602,0.6795865633074936,0.2132295719844358,0.4705513784461153,0.31704260651629074,0.9091478696741855,0.9273182957393483,41.94924812030075,680,,7.69,7.28
